EventDate,EventName,Quantity,Price,Merchandise_Sales,Concession_Sales
2019-01-23 19:00:00,If Beale Street Could Talk,25,209.0,0.0,64.75
2019-01-23 21:30:00,Why Don’t You Play in Hell?,8,56.0,0.0,43.75
2019-01-24 14:30:00,If Beale Street Could Talk,7,58.25,0.0,45.5
2019-01-24 17:00:00,If Beale Street Could Talk,12,75.0,0.0,34.25
2019-01-24 20:00:00,Found Footage Festival: Cherished Gems,193,2056.0,0.0,701.25
2019-01-25 16:00:00,Shoplifters,20,168.25,0.0,37.25
2019-01-25 18:30:00,Burning,16,130.5,0.0,91.25
2019-01-25 21:30:00,Halloween (2018),8,48.0,0.0,23.5
2019-01-26 13:30:00,If Beale Street Could Talk,30,244.75,0.0,134.5
2019-01-26 16:00:00,Burning,28,215.0,0.0,74.25
2019-01-26 19:00:00,Shoplifters,64,571.25,0.0,226.25
2019-01-26 21:30:00,Halloween (2018),8,32.0,0.0,4.0
2019-01-27 12:00:00,Halloween (2018),7,61.25,0.0,27.5
2019-01-27 14:30:00,Shoplifters,55,446.5,10.0,168.5
2019-01-27 17:00:00,If Beale Street Could Talk,44,370.75,10.0,100.5
2019-01-27 19:30:00,Burning,20,182.5,0.0,76.0
2019-01-28 17:00:00,Shoplifters,16,136.25,0.0,38.5
2019-01-28 19:30:00,I Am Not a Witch,19,60.0,0.0,59.0
2019-01-30 19:30:00,Shoplifters,2,17.0,0.0,0.0
2019-02-01 16:30:00,At Eternity's Gate,31,256.25,0.0,84.5
2019-02-01 19:00:00,Shoplifters,58,530.0,20.0,169.0
2019-02-01 21:30:00,Police Story,15,88.0,0.0,89.25
2019-02-02 11:30:00,Shoplifters,27,211.25,0.0,15.25
2019-02-02 14:00:00,If Beale Street Could Talk,60,466.0,0.0,230.25
2019-02-02 16:30:00,At Eternity's Gate,41,336.5,0.0,113.75
2019-02-02 19:00:00,The Favourite,136,1240.0,0.0,446.25
2019-02-02 21:30:00,Police Story,23,160.0,20.0,129.5
2019-02-03 12:00:00,Police Story,11,91.5,0.0,29.5
2019-02-03 14:30:00,The Favourite,74,582.5,0.0,202.0
2019-02-03 17:00:00,Shoplifters,43,332.0,0.0,63.5
2019-02-03 19:30:00,At Eternity's Gate,19,178.5,0.0,39.75
2019-02-04 16:30:00,The Favourite,37,303.5,0.0,107.0
2019-02-04 19:00:00,Mississippi Masala,6,0.0,0.0,192.5
2019-02-05 17:00:00,Shoplifters,17,123.75,0.0,45.5
2019-02-05 19:30:00,At Eternity's Gate,25,186.5,0.0,51.0
2019-02-06 17:00:00,At Eternity's Gate,11,71.25,0.0,10.0
2019-02-06 19:30:00,The Favourite,58,520.25,0.0,281.5
2019-02-07 14:00:00,At Eternity's Gate,19,147.75,0.0,65.5
2019-02-07 16:30:00,The Favourite,29,238.75,0.0,55.75
2019-02-07 19:00:00,Shoplifters,34,268.25,0.0,47.25
2019-02-07 21:30:00,Police Story,7,48.0,0.0,38.0
2019-02-08 16:00:00,The Favourite,9,76.5,0.0,26.75
2019-02-08 19:00:00,The Oscar Nominated Short Films 2019: Live Action,71,611.25,0.0,283.75
2019-02-08 21:30:00,Groundhog Day,9,72.0,0.0,56.75
2019-02-09 11:30:00,2019 Oscar Nominated Short Films: Animation,70,569.25,0.0,129.25
2019-02-09 14:00:00,If Beale Street Could Talk,32,253.5,0.0,64.25
2019-02-09 16:30:00,The Oscar Nominated Short Films 2019: Live Action,56,478.75,0.0,208.25
2019-02-09 19:00:00,The Favourite,100,926.75,0.0,413.0
2019-02-09 21:30:00,Groundhog Day,17,136.0,0.0,103.0
2019-02-10 12:30:00,2019 Oscar Nominated Short Films: Animation,67,540.0,0.0,170.0
2019-02-10 14:30:00,If Beale Street Could Talk,25,196.0,0.0,85.75
2019-02-10 17:00:00,The Favourite,44,351.0,0.0,151.5
2019-02-10 19:30:00,The Oscar Nominated Short Films 2019: Documentary,41,349.25,0.0,128.0
2019-02-12 16:00:00,The Favourite,28,216.25,0.0,372.25
2019-02-12 19:00:00,Mass Incarceration: An Animated Series,1,0.0,0.0,188.5
2019-02-13 16:30:00,The Oscar Nominated Short Films 2019: Live Action,24,186.25,0.0,71.25
